# Provides backward compatibility for any changes to the unit name.
# If a name is changed, an entry should be made here so that it can still
# be found by a previous name that may appear in a MUL file or a MekHQ
# campaign file. Each entry should be on a separate line and have the
# format "oldname|currentname"

#Aerospace
Persepolis 2 (Standard)|Persepolis 2
Black Lion Battlecruiser (2691)|Black Lion II Battlecruiser (2691)
Black Lion Battlecruiser (Clan)|Black Lion II Battlecruiser (2843)
Black Lion I-Battlecruiser|Black Lion I Battlecruiser 
Bonaventure Corvette (Standard)|Bonaventure Corvette (2317)
Cameron Battlecruiser (Clan)|Cameron Battlecruiser (2851)
Carrack Transport (Merchant)|Carrack Transport (Merchant 2985)
Carson Destroyer (Standard)|Carson Destroyer (2632)
Congress Frigate (Clan)|Congress Frigate (2914)
Dart Light Cruiser (Standard)|Dart Light Cruiser (2305)
Essex Destroyer (2711)|Essex II Destroyer (2711)
Essex Destroyer (Clan)|Essex II Destroyer (2862)
Essex I Destroyer (Standard)|Essex I Destroyer (2351)
Farragut Battleship (Standard)|Farragut Battleship (2448)
Fox Corvette (Standard)|Fox Corvette (3057)
Fredasa Corvette Raider (Standard)|Fredasa Corvette Raider (2962)
Impavido Destroyer (Standard)|Impavido Destroyer (3058)
Kimagure Pursuit Cruiser (Standard)|Kimagure Pursuit Cruiser (2582)
Kirishima Cruiser (Standard)|Kirishima Cruiser (3061)
Kyushu Frigate (Standard)|Kyushu Frigate (3057)
Liberator Cruiser (Standard)|Liberator Cruiser (3024)
Lola I Destroyer (Standard)|Lola I Destroyer (2345)
Lola II Destroyer (Standard)|Lola II Destroyer (2622)
Lola III Destroyer (Clan)|Lola III Destroyer (2841)
Luxor Heavy Cruiser (Standard)|Luxor Heavy Cruiser (2727)
Mako Corvette (Standard)|Mako Corvette (2692)
McKenna Battleship (Clan)|McKenna Battleship (2851)
Monsoon Battleship (Lithium-Fusion)|Monsoon Battleship (LF) (2574)
Monsoon Battleship (Standard)|Monsoon Battleship (2368)
Naga Destroyer (Standard)|Naga Destroyer (2645)
New|Sovetskii Soyuz Heavy Cruiser (Dire Wolf) (2845)
Newgrange Yardship (Standard)|Newgrange III Yardship (2700)
Nightlord Battleship (Standard)|Nightlord Battleship (2932)
Nightwing Surveillance (Standard)|Nightwing Surveillance (2447)
Pinto Corvette (Standard)|Pinto Corvette (2502)
Potemkin Troop Cruiser (Clan)|Potemkin Troop Cruiser (2875)
Quixote Frigate (Standard)|Quixote Frigate (2350)
Riga Frigate (Standard)|Riga Frigate (2440)
Riga II Destroyer/Carrier (Standard)|Riga II Destroyer/Carrier (2747)
Sovetskii Soyuz Heavy Cruiser (Clan)|Sovetskii Soyuz Heavy Cruiser (2845)
Suffren Destroyer (Standard)|Suffren Destroyer (3062)
Sylvester Transport (Standard)|Sylvester Transport (2499)
Texas Battleship (Clan)|Texas Battleship (2835)
Tracker Surveillance (Standard)|Tracker Surveillance (2407)
Vigilant Corvette (Standard)|Vigilant Corvette (2320)
Volga Transport (Clan)|Volga Transport (2836)
Wagon Wheel Frigate (Standard)|Wagon Wheel Frigate (2570)
Whirlwind Destroyer (Clan)|Whirlwind Destroyer (2901)
Winchester Cruiser (Standard)|Winchester Cruiser (2364)
York Destroyer Carrier (Standard)|York Destroyer Carrier (2947)
