Megamek Unit Database
This file can be regenerated with java -jar MegaMek.jar -export filename
Type,SubType,Name,Model,BV,Cost (Loaded), Cost (Unloaded),Year,Techlevel,Tonnage,Tech,Canon,Walk,Run,Jump
BattleArmor,Jump,Void Medium Battle Armor,(DCA),154,0,0,3069,IS TW non-box set,1.0,IS,Canon,1,1,4
BattleArmor,Jump,Void Medium Battle Armor,(Nova Cat),342,0,0,3069,IS TW non-box set,1.0,IS,Canon,1,1,4
BattleArmor,Jump,Void Medium Battle Armor,,167,0,0,3067,IS TW non-box set,1.0,IS,Canon,1,1,4
BattleArmor,Leg,Ying Long Medium Battle Armor,,212,0,0,3066,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Angerona Scout Suit,(Recon),170,0,0,3085,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Angerona Scout Suit,,238,0,0,3083,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Ironhold Assault Battle Armor,(Fire),756,0,0,3082,Clan TW,2.0,IS,Canon,1,1,0
BattleArmor,Jump,Ironhold Assault Battle Armor,,536,0,0,3077,Clan TW,2.0,IS,Canon,1,1,2
BattleArmor,Leg,Kopis Assault Battle Armor,(Anti-Infantry),298,0,0,3081,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Leg,Kopis Assault Battle Armor,"The Dark Alley",407,0,0,3077,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Leg,Ravager Assault Battle Armor,(Level I),608,0,0,3084,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Ravager Assault Battle Armor,(MH),473,0,0,3084,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Ravager Assault Battle Armor,,351,0,0,3084,IS TW non-box set,2.0,IS,Canon,2,2,0
BattleArmor,Jump,Thunderbird Battle Armor,[AP Gauss],350,0,0,3086,Clan TW,1.5,IS,Canon,1,1,3
BattleArmor,Jump,Thunderbird Battle Armor,[ER Laser],404,0,0,3086,Clan TW,1.5,IS,Canon,1,1,3
BattleArmor,Jump,Thunderbird Battle Armor,[Pulse Laser],366,0,0,3086,Clan TW,1.5,IS,Canon,1,1,3
BattleArmor,Leg,Warg Assault Battle Armor,,655,0,0,3086,Clan TW,2.0,IS,Canon,1,1,0
BattleArmor,Jump,Afreet Medium Battle Armor,(Interdictor),264,0,0,3076,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Leg,Asterion Medium Battle Armor,(Upgrade) [MRR],251,0,0,3073,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Asterion Medium Battle Armor,(Upgrade) [PPC],223,0,0,3073,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Jump,Clan Medium Battle Armor,"Rache",372,0,0,3077,Clan TW,1.0,IS,Canon,1,1,4
BattleArmor,Jump,Elemental Battle Armor,(Fire) [AP Gauss],576,0,0,3069,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,(Fire) [Flamer],403,0,0,3069,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,(Fire) [MicroPL],479,0,0,3069,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,(Space) [Flamer],291,0,0,2903,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,(Space) [MG],291,0,0,2903,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,(Space) [MicroPL],366,0,0,3066,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,(Support) [King David],185,0,0,3074,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,(Support) [Plasma],225,0,0,3074,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Gnome Battle Armor,(LRM),611,0,0,3073,Clan TW,1.5,IS,Canon,1,1,2
BattleArmor,Leg,Golem Assault Armor,(Support),922,0,0,3076,Clan TW,2.0,IS,Canon,2,2,0
BattleArmor,Leg,Gray Death Heavy Suit,,249,0,0,3079,IS TW non-box set,1.5,IS,Canon,2,2,0
BattleArmor,Jump,Infiltrator Mk. II Battle Armor,(Magnetic),257,0,0,3071,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Kage Light Battle Armor,(Space),105,0,0,3061,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Jump,Longinus Battle Armor,(Magnetic),251,0,0,3069,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Leg,Nighthawk PA(L),Mk. XXX (Bounty Hunter),37,0,0,2957,IS TW non-box set,0.4,IS,Canon,3,3,0
BattleArmor,Jump,Nighthawk PA(L),Mk. XXX,47,0,0,2744,IS TW non-box set,0.4,IS,Canon,3,3,3
BattleArmor,Jump,Purifier Adaptive Battle Armor,[Laser] (RAF),269,0,0,3081,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Purifier Adaptive Battle Armor,[Narc] (RAF),261,0,0,3081,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Purifier Adaptive Battle Armor,[PPC] (RAF),229,0,0,3081,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Purifier Adaptive Battle Armor,[TAG] (RAF),133,0,0,3081,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Raiden Battle Armor,(Anti-Infantry),243,0,0,3058,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Leg,Rottweiler Battle Armor,(Firedrake),225,0,0,3072,IS TW non-box set,1.0,IS,Canon,5,5,0
BattleArmor,Leg,Sloth Battle Armor,(Interdictor),227,0,0,3075,IS TW non-box set,1.5,IS,Canon,3,3,0
BattleArmor,Leg,Theseus Medium Battle Armor,(Support) "Killshot",175,0,0,3073,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Jump,Constable Pacification Suit,ECM,154,0,0,3092,Clan TW,0.75,IS,Canon,3,3,3
BattleArmor,Jump,Constable Pacification Suit,LMG,171,0,0,3092,Clan TW,0.75,IS,Canon,3,3,3
BattleArmor,Jump,Constable Pacification Suit,Sensor,154,0,0,3092,Clan TW,0.75,IS,Canon,3,3,3
BattleArmor,Jump,Constable Pacification Suit,SRM,226,0,0,3092,Clan TW,0.75,IS,Canon,3,3,3
BattleArmor,Jump,Constable Pacification Suit,TAG,144,0,0,3092,Clan TW,0.75,IS,Canon,3,3,3
BattleArmor,Leg,Elemental II,(Production),332,0,0,3085,Clan experimental,1.5,IS,Non-Canon,4,4,0
BattleArmor,Leg,Sylph Battle Armor,Enhanced,189,0,0,3077,Clan experimental,0.75,IS,Non-Canon,5,5,0
BattleArmor,Jump,Gladiator-S,Exoskeleton,45,0,0,3085,IS advanced,0.4,IS,Non-Canon,3,3,2
BattleArmor,Leg,Gray Death Strike,(Production),219,0,0,3085,IS unofficial,1.0,IS,Non-Canon,1,1,0
BattleArmor,Leg,Hauberk Battle Armor,Commando,321,0,0,3088,IS experimental,2.0,IS,Non-Canon,1,1,0
BattleArmor,Leg,Rogue Bear,(Hybrid),365,0,0,3085,Clan experimental,1.5,IS,Non-Canon,1,1,3
BattleArmor,Jump,Void Medium Armor,Minelayer,309,0,0,3090,IS experimental,1.0,IS,Non-Canon,4,4,1
BattleArmor,Jump,Achileus Light Battle Armor,(WoB) [Flamer],300,0,0,3057,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,(WoB) [Laser],355,0,0,3057,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,(WoB) [MG],300,0,0,3057,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,(WoB) [David],327,0,0,3064,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,(WoB) [TAG],230,0,0,3059,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,(WoB),259,0,0,3064,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,[David],189,0,0,3064,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,[Flamer],173,0,0,3057,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,[Laser],205,0,0,3057,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,[MG],173,0,0,3057,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Achileus Light Battle Armor,[TAG],133,0,0,3059,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Cavalier Battle Armor,[Flamer],199,0,0,3058,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Cavalier Battle Armor,[Laser],231,0,0,3058,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Cavalier Battle Armor,[MG],199,0,0,3058,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Cavalier Battle Armor,[SRM],219,0,0,3058,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,(Headhunter),300,0,0,3050,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[AP Gauss],577,0,0,3069,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[ER Laser],426,0,0,3060,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[Flamer],404,0,0,2868,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[HMG],415,0,0,3059,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[Laser],447,0,0,2868,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[MG],404,0,0,2868,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Elemental Battle Armor,[Pulse Laser],480,0,0,3060,Clan TW,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,[Flamer],201,0,0,3062,IS advanced,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,[Laser],233,0,0,3062,IS advanced,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,[LRR],257,0,0,3062,IS advanced,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,[MG],201,0,0,3062,IS advanced,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Fa Shih Battle Armor,[TAG],161,0,0,3062,IS advanced,1.0,IS,Canon,1,1,3
BattleArmor,Leg,Fenrir Battle Armor,[ERML],368,0,0,3064,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[MG],153,0,0,3060,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[Mortar],185,0,0,3064,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[MPL],304,0,0,3060,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[SL],208,0,0,3060,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[SPL],194,0,0,3060,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[SRM],266,0,0,3060,IS TW non-box set,2.0,IS,Canon,4,4,0
BattleArmor,Leg,Fenrir Battle Armor,[VSP],328,0,0,3071,IS advanced,2.0,IS,Canon,4,4,0
BattleArmor,Jump,Gnome Battle Armor,(Upgrade) [MRR],549,0,0,3069,Clan TW,1.5,IS,Canon,1,1,2
BattleArmor,Jump,Gnome Battle Armor,(Upgrade) [Pulse Laser],549,0,0,3069,Clan TW,1.5,IS,Canon,1,1,2
BattleArmor,Jump,Gnome Battle Armor,(Upgrade) [Bearhunter],476,0,0,3069,Clan TW,1.5,IS,Canon,1,1,2
BattleArmor,Jump,Gnome Battle Armor,,581,0,0,3056,Clan TW,1.5,IS,Canon,1,1,2
BattleArmor,Jump,Gray Death Scout,,81,0,0,3052,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Leg,Gray Death Standard,[Flamer],193,2400000,2400000,3052,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Gray Death Standard,[Laser],225,2400000,2400000,3052,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Gray Death Standard,[LRR],249,2400000,2400000,3069,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Gray Death Standard,[MG],193,2400000,2400000,3052,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Gray Death Standard,[SRM],213,2400000,2400000,3052,IS TW non-box set,1.0,IS,Canon,3,3,0
BattleArmor,Leg,Infiltrator Mk. I Battle Armor,(Special Ops),98,0,0,3062,IS TW non-box set,0.75,IS,Canon,2,2,0
BattleArmor,Leg,Infiltrator Mk. I Battle Armor,"Waddle",95,0,0,3050,IS TW non-box set,0.75,IS,Canon,2,2,0
BattleArmor,Jump,Infiltrator Mk. II Battle Armor,(Sensor),180,0,0,3063,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Infiltrator Mk. II Battle Armor,"Puma",253,0,0,3060,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,(Level I) [Flamer],344,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,(Level I) [Laser],400,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,(Level I) [LRR],441,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,(Level I) [MG],344,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,(Level I) [SRM],303,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,[Flamer],199,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,[Laser],231,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,[LRR],255,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,[MG],199,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,IS Standard Battle Armor,[SRM],175,0,0,3052,IS TW non-box set,1.0,IS,Canon,1,1,3
BattleArmor,Jump,Kage Light Battle Armor,(DEST),177,0,0,3059,IS TW non-box set,0.75,IS,Canon,1,1,3
BattleArmor,Jump,Kage Light Battle Armor,(Vibro-Claw),114,0,0,3069,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Jump,Kage Light Battle Armor,[ECM],113,0,0,3056,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Jump,Kage Light Battle Armor,[Flamer],117,0,0,3056,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Jump,Kage Light Battle Armor,[Laser],126,0,0,3056,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Jump,Kage Light Battle Armor,[MG],117,0,0,3056,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Jump,Kage Light Battle Armor,[TAG],105,0,0,3056,IS TW non-box set,0.75,IS,Canon,1,1,4
BattleArmor,Leg,Kanazuchi Assault Battle Armor,(Upgrade) [Battle Claw],338,0,0,3070,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Leg,Kanazuchi Assault Battle Armor,[Battle Claw],372,0,0,3058,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Leg,Kanazuchi Assault Battle Armor,[Industrial Drill],372,0,0,3058,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Leg,Kanazuchi Assault Battle Armor,[Salvage Arm],372,0,0,3058,IS TW non-box set,2.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[David] (WoB),400,0,0,3063,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[David],231,0,0,3063,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[Flamer] (WoB),372,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[Flamer],215,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[Laser] (WoB),427,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[Laser],247,0,0,3057,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[MG] (WoB),372,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Longinus Battle Armor,[MG],215,0,0,3061,IS TW non-box set,1.0,IS,Canon,1,1,0
BattleArmor,Jump,Purifier Adaptive Battle Armor,[Laser],466,0,0,3062,IS TW non-box set,1.0,IS,Canon,1,1,3
