Chassis|Model|MUL ID|Combined|Clan|Source|File Location|Weight|Intro Date|Experimental year|Advanced year|Standard year|Extinct Year|Unit Type|Role|BV|Cost|Rules|Engine Name|Internal Structure|Myomer|Cockpit Type|Gyro Type|Armor Types|Equipment|Manufacturer|Factory|Targeting|Comms|Armor|JJ|Engine|Chassis|Capabilities|Overview|History|Deployment|Notes
Achileus Light Battle Armor|[TAG](Sqd5)|8477|Achileus Light Battle Armor [TAG](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 5) [TAG].blk|5.0|3059|||3059|-|Battlearmor|Ambusher|179|2600400|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBALightTAG,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|(WoB)(Sqd5)|8472|Achileus Light Battle Armor (WoB)(Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 5) [WoB].blk|5.0|3064|||3064|-|Battlearmor|Scout|202|2825400|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,BAAPMount,InfantryAssaultRifle,ISImprovedSensors,IS BA ECM,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[David](Sqd6)|8838|Achileus Light Battle Armor [David](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqd 6) [David].blk|6.0|3064||3064|3065|-|Battlearmor|Ambusher|327|3015480|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,BADavidLightGaussRifle,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[Flamer](Sqd6)|8839|Achileus Light Battle Armor [Flamer](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqn 6) [Flamer].blk|6.0|3064|||3064|-|Battlearmor|Ambusher|300|2925480|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBAFlamer,BAAPMount,BABasicManipulator,InfantryAssaultRifle|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[Laser](Sqd6)|8840|Achileus Light Battle Armor [Laser](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqn 6) [Laser].blk|6.0|3064|||3064|-|Battlearmor|Ambusher|355|2947980|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,ISBASmallLaser,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[MG](Sqd6)|8841|Achileus Light Battle Armor [MG](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqn 6) [MG].blk|6.0|3064|||3064|-|Battlearmor|Ambusher|300|2910480|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBAMG,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|[TAG](Sqd6)|8842|Achileus Light Battle Armor [TAG](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqn 6) [TAG].blk|6.0|3064|||3064|-|Battlearmor|Ambusher|230|3120480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,CLBALightTAG,BAAPMount,InfantryAssaultRifle,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Achileus Light Battle Armor|(WoB)(Sqd6)|8837|Achileus Light Battle Armor (WoB)(Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Achileus BA (Sqn 6) [WoB].blk|6.0|3064|||3064|-|Battlearmor|Scout|259|3390480|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Stealth (Improved),|BAJumpJet,BAAPMount,InfantryAssaultRifle,ISImprovedSensors,IS BA ECM,BABasicManipulator|Free Worlds Defence Industries,Irian BattleMechs Unlimited,Irian BattleMechs Unlimited|Gibson,Irian,Washburn|--|--|--|--|--|--|yes|yes|yes|yes|--
Cavalier Battle Armor|[Flamer](Sqd4)|499|Cavalier Battle Armor [Flamer](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [Flamer] (Sqd4).blk|4.0|3058|||3058|-|Battlearmor|Ambusher|199|2330000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,CLBAFlamer,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[Flamer](Sqd5)|8481|Cavalier Battle Armor [Flamer](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [Flamer] (Sqd5).blk|5.0|3058|||3058|-|Battlearmor|Ambusher|268|2912500|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,CLBAFlamer,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[Flamer](Sqd6)|8846|Cavalier Battle Armor [Flamer](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [Flamer] (Sqd6).blk|6.0|3058|||3058|-|Battlearmor|Ambusher|344|3495000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,CLBAFlamer,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[Laser](Sqd4)|500|Cavalier Battle Armor [Laser](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [Laser] (Sqd4).blk|4.0|3058|||3058|-|Battlearmor|Ambusher|231|2345000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASmallLaser,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[Laser](Sqd5)|8482|Cavalier Battle Armor [Laser](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [Laser] (Sqd5).blk|5.0|3058|||3058|-|Battlearmor|Ambusher|311|2931250|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASmallLaser,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[Laser](Sqd6)|8847|Cavalier Battle Armor [Laser](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [Laser] (Sqd6).blk|6.0|3058|||3058|-|Battlearmor|Ambusher|400|3517500|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASmallLaser,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[MG](Sqd4)|501|Cavalier Battle Armor [MG](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [MG] (Sqd4).blk|4.0|3058|||3058|-|Battlearmor|Ambusher|199|2320000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,CLBAMG,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[MG](Sqd5)|8483|Cavalier Battle Armor [MG](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [MG] (Sqd5).blk|5.0|3058|||3058|-|Battlearmor|Ambusher|268|2900000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,CLBAMG,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[MG](Sqd6)|8483|Cavalier Battle Armor [MG](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [MG] (Sqd6).blk|6.0|3058|||3058|-|Battlearmor|Undetermined|344|3480000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,CLBAMG,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[SRM](Sqd4)|502|Cavalier Battle Armor [SRM](Sqd4)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [SRM] (Sqd4).blk|4.0|3058|||3058|-|Battlearmor|Ambusher|219|2320000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASRM1,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[SRM](Sqd5)|8484|Cavalier Battle Armor [SRM](Sqd5)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [SRM] (Sqd5).blk|5.0|3058|||3058|-|Battlearmor|Ambusher|295|2900000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASRM1,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Cavalier Battle Armor|[SRM](Sqd6)|8848|Cavalier Battle Armor [SRM](Sqd6)|false|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Cavalier BA [SRM] (Sqd6).blk|6.0|3058|||3058|-|Battlearmor|Ambusher|379|3480000|2|None|Not Applicable|None|Not Applicable|Not Applicable|IS BA Standard (Basic),|BAJumpJet,ISBASRM1,BABattleClaw|Albion Advanced Technologies and Products,General Motors|New Avalon,Talcott|--|--|--|--|--|--|yes|yes|yes|yes|In German products the unit's proper name was translated to Chevalier, regardless to the resulting mix-up with the Chevalier light tank, whose proper name used unaltered in German products.
Elemental Battle Armor|(Headhunter)(Sqd4)|952|Elemental Battle Armor (Headhunter)(Sqd4)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA (Headhunter) (Sqd4).blk|4.0|3050||3050||-|Battlearmor|Ambusher|223|3624320|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAMG,CLImprovedSensors,ISBAHeatSensor,ISBARemoteSensorDispenser,BAAPMount,InfantryAssaultRifle,BABattleClaw|Bergan Industries BA Annex,WC Site 2,WC Site OZ-2, Various Refit|Alshain,Arc-Royal,Tamar,Various|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|(Headhunter)(Sqd5)|8489|Elemental Battle Armor (Headhunter)(Sqd5)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA (Headhunter) (Sqd5).blk|5.0|3050||3050||-|Battlearmor|Ambusher|300|4530400|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAMG,CLImprovedSensors,ISBAHeatSensor,ISBARemoteSensorDispenser,BAAPMount,InfantryAssaultRifle,BABattleClaw|Bergan Industries BA Annex,WC Site 2,WC Site OZ-2, Various Refit|Alshain,Arc-Royal,Tamar,Various|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|(Headhunter)(Sqd6)|8853|Elemental Battle Armor (Headhunter)(Sqd6)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA (Headhunter) (Sqd6).blk|6.0|3050||3050||-|Battlearmor|Ambusher|385|5436480|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAMG,CLImprovedSensors,ISBAHeatSensor,ISBARemoteSensorDispenser,BAAPMount,InfantryAssaultRifle,BABattleClaw|Bergan Industries BA Annex,WC Site 2,WC Site OZ-2, Various Refit|Alshain,Arc-Royal,Tamar,Various|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|[AP Gauss](Sqd3)|9204|Elemental Battle Armor [AP Gauss](Sqd3)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA [APG] (Sqd3).blk|3.0|3069||3069|3072|-|Battlearmor|Ambusher|297|2095740|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAAPGaussRifle,CLBASRM2,BAAPMount,InfantryAssaultRifle,BABattleClaw|Swedenborg Heavy Industries,Bergan Industries BA Annex,WC Site 2,Clan Diamond Shark IndustriPlex-C,Unknown,Olivetti Weaponry,WC Site OZ-2,W-7 Facilities,Trellshire Heavy Industries,W-7 Facilities,Elemental Facility 4|Kirchbach,Alshain,Arc-Royal,Itabaiana,Strana Mechty,Sudeten,Tamar,Tranquil,Twycross,Weingarten,York|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|[AP Gauss](Sqd4)|956|Elemental Battle Armor [AP Gauss](Sqd4)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA [APG] (Sqd4).blk|4.0|3069||3069|3072|-|Battlearmor|Ambusher|428|2794320|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAAPGaussRifle,CLBASRM2,BAAPMount,InfantryAssaultRifle,BABattleClaw|Swedenborg Heavy Industries,Bergan Industries BA Annex,WC Site 2,Clan Diamond Shark IndustriPlex-C,Unknown,Olivetti Weaponry,WC Site OZ-2,W-7 Facilities,Trellshire Heavy Industries,W-7 Facilities,Elemental Facility 4|Kirchbach,Alshain,Arc-Royal,Itabaiana,Strana Mechty,Sudeten,Tamar,Tranquil,Twycross,Weingarten,York|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|[AP Gauss](Sqd5)|8493|Elemental Battle Armor [AP Gauss](Sqd5)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA [APG] (Sqd5).blk|5.0|3069||3069|3072|-|Battlearmor|Ambusher|577|3492900|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAAPGaussRifle,CLBASRM2,BAAPMount,InfantryAssaultRifle,BABattleClaw|Swedenborg Heavy Industries,Bergan Industries BA Annex,WC Site 2,Clan Diamond Shark IndustriPlex-C,Unknown,Olivetti Weaponry,WC Site OZ-2,W-7 Facilities,Trellshire Heavy Industries,W-7 Facilities,Elemental Facility 4|Kirchbach,Alshain,Arc-Royal,Itabaiana,Strana Mechty,Sudeten,Tamar,Tranquil,Twycross,Weingarten,York|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|[AP Gauss](Sqd6)|8857|Elemental Battle Armor [AP Gauss](Sqd6)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA [APG] (Sqd6).blk|6.0|3069||3069|3072|-|Battlearmor|Ambusher|742|4191480|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAAPGaussRifle,CLBASRM2,BAAPMount,InfantryAssaultRifle,BABattleClaw|Swedenborg Heavy Industries,Bergan Industries BA Annex,WC Site 2,Clan Diamond Shark IndustriPlex-C,Unknown,Olivetti Weaponry,WC Site OZ-2,W-7 Facilities,Trellshire Heavy Industries,W-7 Facilities,Elemental Facility 4|Kirchbach,Alshain,Arc-Royal,Itabaiana,Strana Mechty,Sudeten,Tamar,Tranquil,Twycross,Weingarten|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|[ER Laser](Sqd3)|9205|Elemental Battle Armor [ER Laser](Sqd3)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA [ER Laser] (Sqd3).blk|3.0|3060||3060|3064|-|Battlearmor|Ambusher|219|2095740|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAERMicroLaser,CLBASRM2,BAAPMount,InfantryAssaultRifle,BABattleClaw|Swedenborg Heavy Industries,Bergan Industries BA Annex,WC Site 2,Clan Diamond Shark IndustriPlex-C,Unknown,Olivetti Weaponry,WC Site OZ-2,W-7 Facilities,Trellshire Heavy Industries,W-7 Facilities,Elemental Facility 4|Kirchbach,Alshain,Arc-Royal,Itabaiana,Strana Mechty,Sudeten,Tamar,Tranquil,Twycross,Weingarten,York|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
Elemental Battle Armor|[ER Laser](Sqd4)|957|Elemental Battle Armor [ER Laser](Sqd4)|true|TRO: 3058 Upgrade|data\mechfiles\battlearmor\3058Uu\Elemental BA [ER Laser] (Sqd4).blk|4.0|3060||3060|3064|-|Battlearmor|Ambusher|316|2794320|2|None|Not Applicable|None|Not Applicable|Not Applicable|Clan BA Standard (Basic),|BAJumpJet,CLBAERMicroLaser,CLBASRM2,BAAPMount,InfantryAssaultRifle,BABattleClaw|Swedenborg Heavy Industries,Bergan Industries BA Annex,WC Site 2,Clan Diamond Shark IndustriPlex-C,Unknown,Olivetti Weaponry,WC Site OZ-2,W-7 Facilities,Trellshire Heavy Industries,W-7 Facilities,Elemental Facility 4|Kirchbach,Alshain,Arc-Royal,Itabaiana,Strana Mechty,Sudeten,Tamar,Tranquil,Twycross,Weingarten,York|Various|Various|Various|Various|Various|Various|yes|yes|yes|yes|--
